Vendor Stk Nbr,Item Desc 1,Unit Retail,Color Desc,Est. POS Store Count,POS Qty,WM Month
ADX0587008,RH CZ ROUND GRAD,$3.00 ,SLCZ,"1,190 ","8,257 ",2017/02
ADX0587008,RH CZ ROUND GRAD,$3.00 ,SLCZ,"1,062 ","10,469 ",2017/03
ADX0587008,RH CZ ROUND GRAD,$3.00 ,SLCZ,385 ,"2,494 ",2017/04
ADX0587008,RH CZ ROUND GRAD,$3.00 ,SLCZ,121 ,640 ,2017/05
ADX0587009,RH CZ SQUARE GRAD,$3.00 ,SLCZ,647 ,"3,293 ",2017/02
ADX0587009,RH CZ SQUARE GRAD,$3.00 ,SLCZ,498 ,"3,724 ",2017/03
ADX0587009,RH CZ SQUARE GRAD,$3.00 ,SLCZ,167 ,751 ,2017/04
ADX0587009,RH CZ SQUARE GRAD,$3.00 ,SLCZ,48 ,185 ,2017/05
ADX0587010,GL CZ ROUND GRAD,$3.00 ,GLCZ,914 ,"4,402 ",2017/02
ADX0587010,GL CZ ROUND GRAD,$3.00 ,GLCZ,810 ,"6,238 ",2017/03
ADX0587010,GL CZ ROUND GRAD,$3.00 ,GLCZ,339 ,"1,799 ",2017/04
ADX0587010,GL CZ ROUND GRAD,$3.00 ,GLCZ,108 ,465 ,2017/05
ADX0587011,GL CZ SQUARE GRAD,$3.00 ,GLCZ,712 ,"3,664 ",2017/02
ADX0587011,GL CZ SQUARE GRAD,$3.00 ,GLCZ,646 ,"4,495 ",2017/03
ADX0587011,GL CZ SQUARE GRAD,$3.00 ,GLCZ,208 ,"1,031 ",2017/04
ADX0587011,GL CZ SQUARE GRAD,$3.00 ,GLCZ,67 ,238 ,2017/05
ADX0587012,BK JTCZ ROUND GRAD,$3.00 ,BKJTCZ,803 ,"3,974 ",2017/02
ADX0587012,BK JTCZ ROUND GRAD,$3.00 ,BKJTCZ,779 ,"5,832 ",2017/03
ADX0587012,BK JTCZ ROUND GRAD,$3.00 ,BKJTCZ,326 ,"1,490 ",2017/04
ADX0587012,BK JTCZ ROUND GRAD,$3.00 ,BKJTCZ,86 ,359 ,2017/05
ADX0587013,RG CZ ROUND GRAD,$3.00 ,RGCZ,838 ,"4,225 ",2017/02
ADX0587013,RG CZ ROUND GRAD,$3.00 ,RGCZ,773 ,"5,811 ",2017/03
ADX0587013,RG CZ ROUND GRAD,$3.00 ,RGCZ,334 ,"1,540 ",2017/04
ADX0587013,RG CZ ROUND GRAD,$3.00 ,RGCZ,93 ,402 ,2017/05
ADX0587014,RH CZ RND W/FIREBALL,$3.00 ,RGCZ,"1,597 ","11,600 ",2017/02
ADX0587014,RH CZ RND W/FIREBALL,$3.00 ,RGCZ,"1,561 ","20,378 ",2017/03
ADX0587014,RH CZ RND W/FIREBALL,$3.00 ,RGCZ,759 ,"6,584 ",2017/04
ADX0587014,RH CZ RND W/FIREBALL,$3.00 ,RGCZ,270 ,"1,747 ",2017/05
ADX0587014,RH CZ RND W/FIREBALL,$3.00 ,RGCZ,60 ,442 ,2017/06
ADX0587015,GL CZ RND W/FIREBALL,$3.00 ,GLCZ,"1,574 ","11,407 ",2017/02
ADX0587015,GL CZ RND W/FIREBALL,$3.00 ,GLCZ,"1,597 ","23,872 ",2017/03
ADX0587015,GL CZ RND W/FIREBALL,$3.00 ,GLCZ,862 ,"9,289 ",2017/04
ADX0587015,GL CZ RND W/FIREBALL,$3.00 ,GLCZ,343 ,"2,776 ",2017/05
ADX0587015,GL CZ RND W/FIREBALL,$3.00 ,GLCZ,80 ,634 ,2017/06
ADX0587016,RG PECZ RND W/FIREBL,$3.00 ,RGPECZ,692 ,"3,262 ",2017/02
ADX0587016,RG PECZ RND W/FIREBL,$3.00 ,RGPECZ,606 ,"4,124 ",2017/03
ADX0587016,RG PECZ RND W/FIREBL,$3.00 ,RGPECZ,167 ,747 ,2017/04
ADX0587016,RG PECZ RND W/FIREBL,$3.00 ,RGPECZ,58 ,174 ,2017/05
ADX0587017,BK JTCZ RND W/FIREBL,$3.00 ,BKJTCZ,"1,024 ","5,045 ",2017/02
ADX0587017,BK JTCZ RND W/FIREBL,$3.00 ,BKJTCZ,954 ,"8,841 ",2017/03
ADX0587017,BK JTCZ RND W/FIREBL,$3.00 ,BKJTCZ,484 ,"2,564 ",2017/04
ADX0587017,BK JTCZ RND W/FIREBL,$3.00 ,BKJTCZ,148 ,586 ,2017/05
ADX0587018,RG CZ RND W/FIREBALL,$3.00 ,RGCZ,"1,077 ","5,357 ",2017/02
ADX0587018,RG CZ RND W/FIREBALL,$3.00 ,RGCZ,"1,079 ","10,365 ",2017/03
ADX0587018,RG CZ RND W/FIREBALL,$3.00 ,RGCZ,640 ,"3,899 ",2017/04
ADX0587018,RG CZ RND W/FIREBALL,$3.00 ,RGCZ,227 ,"1,172 ",2017/05
ADX0587018,RG CZ RND W/FIREBALL,$3.00 ,RGCZ,41 ,239 ,2017/06
ADX0588011,GOLD GLITTER STUD,$3.00 ,GLGL,88 ,523 ,2017/02
ADX0588011,GOLD GLITTER STUD,$3.00 ,GLGL,79 ,542 ,2017/03
ADX0588011,GOLD GLITTER STUD,$3.00 ,GLGL,76 ,394 ,2017/04
ADX0588011,GOLD GLITTER STUD,$3.00 ,GLGL,114 ,852 ,2017/05
ADX0588011,GOLD GLITTER STUD,$3.00 ,GLGL,53 ,476 ,2017/06
ADX0588012,BK/GOLD GLITTER STUD,$3.00 ,GLBKGL,102 ,568 ,2017/02
ADX0588012,BK/GOLD GLITTER STUD,$3.00 ,GLBKGL,100 ,690 ,2017/03
ADX0588012,BK/GOLD GLITTER STUD,$3.00 ,GLBKGL,87 ,447 ,2017/04
ADX0588012,BK/GOLD GLITTER STUD,$3.00 ,GLBKGL,100 ,921 ,2017/05
ADX0588012,BK/GOLD GLITTER STUD,$3.00 ,GLBKGL,57 ,484 ,2017/06
ADX0608001,WHITE PEARL SET,$3.00 ,RHWH,31 ,253 ,2017/02
ADX0608002,PINK PEARL SET,$3.00 ,RHPK,31 ,164 ,2017/02
ADX0608003,LT BLUE PEARL SET,$3.00 ,RHBL,77 ,460 ,2017/02
ADX0608003,LT BLUE PEARL SET,$3.00 ,RHBL,58 ,312 ,2017/03
ADX0608003,LT BLUE PEARL SET,$3.00 ,RHBL,42 ,165 ,2017/04
ADX0608004,LAVENDER PEARL SET,$3.00 ,RHLV,33 ,175 ,2017/02
ADX0608005,MINT PEARL SET,$3.00 ,RHMN,278 ,"2,093 ",2017/02
ADX0608005,MINT PEARL SET,$3.00 ,RHMN,193 ,"1,473 ",2017/03
ADX0608005,MINT PEARL SET,$3.00 ,RHMN,133 ,815 ,2017/04
ADX0608005,MINT PEARL SET,$3.00 ,RHMN,86 ,468 ,2017/05
ADX0608005,MINT PEARL SET,$3.00 ,RHMN,52 ,272 ,2017/06
ADX0608006,CHAMPAGNE PEARL SET,$3.00 ,RHCH,101 ,669 ,2017/02
ADX0608006,CHAMPAGNE PEARL SET,$3.00 ,RHCH,50 ,403 ,2017/03
ADX0608006,CHAMPAGNE PEARL SET,$3.00 ,RHCH,41 ,286 ,2017/04
ADX0608006,CHAMPAGNE PEARL SET,$3.00 ,RHCH,35 ,139 ,2017/05
ADX0608057,MINT OVAL DROP,$3.00 ,GLMN,32 ,125 ,2017/02
ADX0608058,MELON OVAL DROP,$3.00 ,GLML,45 ,159 ,2017/02
ADX0621001,NATURAL BRAIDED,$5.00 ,GLNT,30 ,97 ,2017/02
