item,wm_month,item_desc,unit_retail,color,pos_stores,pos_qty,months,interested,pos_diff_pct,pos_pct_of_1st_month
ADX6407003,2017/03,"42"" PEARL NECK",$9.88 ,NONE,318 ,1551.0,14,No,0.0,1.0
ADX6407003,2017/04,"42"" PEARL NECK",$9.88 ,NONE,345 ,1347.0,14,No,-0.1315280464216635,0.8684719535783365
ADX6407003,2017/05,"42"" PEARL NECK",$9.88 ,NONE,370 ,1415.0,14,No,0.05048255382331113,0.912314635718891
ADX6407003,2017/06,"42"" PEARL NECK",$9.88 ,NONE,312 ,1303.0,14,No,-0.07915194346289756,0.8401031592520954
ADX6407003,2017/07,"42"" PEARL NECK",$9.88 ,NONE,288 ,1073.0,14,No,-0.17651573292402145,0.6918117343649258
ADX6407003,2017/08,"42"" PEARL NECK",$9.88 ,NONE,277 ,1045.0,14,No,-0.026095060577819185,0.6737588652482269
ADX6407003,2017/09,"42"" PEARL NECK",$9.88 ,NONE,282 ,1338.0,14,No,0.2803827751196173,0.8626692456479691
ADX6407003,2017/10,"42"" PEARL NECK",$9.88 ,NONE,564 ,1669.0,14,No,0.24738415545590442,1.076079948420374
ADX6407003,2017/11,"42"" PEARL NECK",$9.88 ,NONE,572 ,1426.0,14,No,-0.14559616536848408,0.9194068343004513
ADX6407003,2017/12,"42"" PEARL NECK",$9.88 ,NONE,466 ,1911.0,14,No,0.3401122019635343,1.2321083172147003
ADX6407003,2018/01,"42"" PEARL NECK",$9.88 ,NONE,264 ,965.0,14,No,-0.49502878074306644,0.6221792392005158
ADX6407003,2018/02,"42"" PEARL NECK",$9.88 ,NONE,444 ,1545.0,14,No,0.6010362694300517,0.9961315280464217
ADX6407004,2017/03,3PC PEARL BRACELET,$4.88 ,NONE,698 ,4125.0,14,No,0.0,1.0
ADX6407004,2017/04,3PC PEARL BRACELET,$4.88 ,NONE,932 ,4333.0,14,No,0.05042424242424248,1.0504242424242425
ADX6407004,2017/05,3PC PEARL BRACELET,$4.88 ,NONE,"1,125 ",5231.0,14,No,0.20724671128548344,1.2681212121212122
ADX6407004,2017/06,3PC PEARL BRACELET,$4.88 ,NONE,812 ,4733.0,14,No,-0.09520168227872294,1.1473939393939394
ADX6407004,2017/07,3PC PEARL BRACELET,$4.88 ,NONE,776 ,3659.0,14,No,-0.2269173885484893,0.8870303030303031
ADX6407004,2017/08,3PC PEARL BRACELET,$4.88 ,NONE,776 ,3717.0,14,No,0.01585132549877022,0.901090909090909
ADX6407004,2017/09,3PC PEARL BRACELET,$4.88 ,NONE,793 ,4763.0,14,No,0.28140973903685773,1.1546666666666667
ADX6407004,2017/10,3PC PEARL BRACELET,$4.88 ,NONE,829 ,4078.0,14,No,-0.1438169221079152,0.9886060606060606
ADX6407004,2017/11,3PC PEARL BRACELET,$4.88 ,NONE,761 ,2773.0,14,No,-0.3200098087297695,0.6722424242424242
ADX6407004,2017/12,3PC PEARL BRACELET,$4.88 ,NONE,904 ,4629.0,14,No,0.6693112152902994,1.1221818181818182
ADX6407004,2018/01,3PC PEARL BRACELET,$4.88 ,NONE,398 ,1605.0,14,No,-0.6532728451069345,0.3890909090909091
ADX6407004,2018/02,3PC PEARL BRACELET,$4.88 ,NONE,699 ,3125.0,14,No,0.9470404984423677,0.7575757575757576
ADX6407008,2017/03,PEARL 8MM NECK,$4.88 ,PEARL,"1,136 ",7271.0,14,Yes,0.0,1.0
ADX6407008,2017/04,PEARL 8MM NECK,$4.88 ,PEARL,"1,485 ",7614.0,14,Yes,0.047173703754641805,1.0471737037546418
ADX6407008,2017/05,PEARL 8MM NECK,$4.88 ,PEARL,"1,588 ",8090.0,14,Yes,0.06251641712634615,1.1126392518223078
